순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,Year,Team
1,양준혁,삼성,0.303,126,533,413,63,125,31,1,13,197,81,1,7,2006,삼성
3,박한이,삼성,0.285,126,567,471,89,134,21,2,6,177,43,7,3,2006,삼성
5,박진만,삼성,0.283,115,452,382,54,108,22,1,11,165,65,2,5,2006,삼성
1,이병규,LG,0.297,120,515,478,51,142,29,1,7,194,55,1,1,2006,LG
2,박용택,LG,0.294,126,534,476,69,140,26,3,16,220,64,1,4,2006,LG
2,안경현,두산,0.284,125,499,423,45,120,21,0,15,186,70,5,5,2006,두산
3,이종욱,두산,0.284,120,448,388,76,110,14,6,1,139,32,11,1,2006,두산
6,손시헌,두산,0.267,126,462,404,29,108,16,4,2,138,34,11,2,2006,두산
13,강동우,두산,0.249,118,456,393,36,98,12,2,2,120,34,9,4,2006,두산
5,정근우,SK,0.284,120,487,430,69,122,19,4,8,173,42,13,4,2006,SSG
8,이진영,SK,0.273,118,473,428,54,117,13,0,11,163,41,2,0,2006,SSG
10,박재홍,SK,0.259,124,529,452,61,117,22,1,18,195,73,2,6,2006,SSG
1,이대호,롯데,0.336,122,499,443,71,149,26,0,26,253,88,0,1,2006,롯데
6,호세,롯데,0.277,122,504,415,59,115,21,0,22,202,78,0,3,2006,롯데
9,강민호,롯데,0.251,126,460,410,40,103,20,0,9,150,53,14,2,2006,롯데
4,김태균,한화,0.291,124,511,423,66,123,27,0,13,189,73,0,4,2006,한화
5,데이비스,한화,0.284,117,479,415,62,118,21,0,21,202,74,0,5,2006,한화
8,이범호,한화,0.257,126,497,421,53,108,25,1,20,195,73,1,3,2006,한화
9,이도형,한화,0.256,119,466,426,46,109,22,0,19,188,63,5,3,2006,한화
1,이현곤,KIA,0.338,126,521,453,63,153,31,0,2,190,48,13,8,2007,KIA
5,장성호,KIA,0.281,116,464,395,55,111,22,0,11,166,62,0,3,2007,KIA
6,이용규,KIA,0.280,118,491,439,61,123,17,8,0,156,27,5,3,2007,KIA
